date_time,activity 0,activity 1,activity 2,total_activity,temperature
2021-03-02 11:15:15,0,0,1,1,0.9
2021-03-02 11:15:16,0,0,1,1,0.9
2021-03-02 11:15:16,0,0,1,1,0.9
2021-03-02 11:15:17,0,0,1,1,0.9
2021-03-02 11:15:18,0,0,1,1,0.9
2021-03-02 11:15:20,0,0,1,1,0.9
2021-03-02 11:15:21,0,0,1,1,0.9
2021-03-02 11:15:22,0,0,1,1,0.9
2021-03-02 11:15:23,0,0,1,1,0.9
2021-03-02 11:15:23,0,0,1,1,0.9
2021-03-02 11:15:24,0,0,1,1,0.9
2021-03-02 11:15:25,0,0,1,1,0.9
2021-03-02 11:15:25,0,0,1,1,0.9
2021-03-02 11:15:26,0,0,1,1,0.9
2021-03-02 11:15:26,0,0,1,1,0.9
2021-03-02 11:15:27,0,0,1,1,0.9
2021-03-02 11:15:27,0,0,1,1,0.9
2021-03-02 11:15:28,0,0,1,1,0.9
2021-03-02 11:15:29,0,0,1,1,0.9
2021-03-02 11:15:29,0,0,1,1,0.9
2021-03-02 11:15:30,0,0,1,1,0.9
2021-03-02 11:15:32,0,0,1,1,0.9
2021-03-02 11:15:33,0,0,1,1,0.9
2021-03-02 11:15:33,0,0,1,1,0.9
2021-03-02 11:15:34,0,0,1,1,0.9
2021-03-02 11:15:34,0,0,1,1,0.9
2021-03-02 11:15:35,0,0,1,1,0.9
2021-03-02 11:15:35,0,0,1,1,0.9
2021-03-02 11:15:36,0,0,1,1,0.9
2021-03-02 11:15:36,0,0,1,1,0.9
2021-03-02 11:15:37,0,0,1,1,0.9
2021-03-02 11:15:37,0,0,1,1,0.9
2021-03-02 11:15:38,0,0,1,1,0.9
2021-03-02 11:15:38,0,0,1,1,0.9
2021-03-02 11:15:39,0,0,1,1,0.9
2021-03-02 11:15:42,0,0,1,1,0.9
2021-03-02 11:15:43,0,0,1,1,0.9
2021-03-02 11:15:43,0,0,1,1,0.9
2021-03-02 11:15:44,0,0,1,1,0.9
2021-03-02 11:15:44,0,0,1,1,0.9
2021-03-02 11:15:45,0,0,1,1,0.9
2021-03-02 11:15:45,0,0,1,1,0.9
2021-03-02 11:15:46,0,0,1,1,0.9
2021-03-02 11:15:46,0,0,1,1,0.9
2021-03-02 11:15:47,0,0,1,1,0.9
2021-03-02 11:15:47,0,0,1,1,0.9
2021-03-02 11:15:48,0,0,1,1,0.9
2021-03-02 11:15:51,0,0,1,1,0.9
2021-03-02 11:15:53,0,0,1,1,0.9
2021-03-02 11:15:54,0,0,1,1,0.9
2021-03-02 11:15:55,0,0,1,1,0.9
2021-03-02 11:15:57,0,0,1,1,0.9
2021-03-02 11:15:58,0,0,1,1,0.9
2021-03-02 11:15:58,0,0,2,2,0.9
2021-03-02 11:15:58,0,0,2,2,0.9
2021-03-02 11:15:59,0,0,1,1,0.9
2021-03-02 11:15:59,0,0,1,1,0.9
2021-03-02 11:16:00,0,0,1,1,0.9
2021-03-02 11:16:00,0,0,2,2,0.9
2021-03-02 11:16:01,0,0,2,2,0.9
2021-03-02 11:16:01,0,0,2,2,0.9
2021-03-02 11:16:02,0,0,1,1,0.9
2021-03-02 11:16:02,0,0,2,2,0.9
2021-03-02 11:16:03,0,0,2,2,0.9
